link,round,home_team,away_team,result,home_position_all,away_position_all,home_winperc_all,away_winperc_all,home_position_home,away_position_home,home_winperc_home,away_winperc_home,home_position_away,away_position_away,home_winperc_away,away_winperc_away,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,home_previous,draw_previous,away_previous,odds_home,odds_draw,odds_away
https://footystats.org//croatia/nk-varazdin-vs-nk-lokomotiva-zagreb-h2h-stats#620146,23,Varaždin,Lokomotiva Zagreb,Away,10,5,0.14,0.45,10,4,0.2,0.73,8,5,0.08,0.18,Lose,Draw,Draw,Lose,Lose,Lose,Lose,Lose,Win,Lose,0.0,0.5,0.5,3.46,3.61,1.91
https://footystats.org//croatia/nk-istra-1961-vs-nk-slaven-belupo-koprivnica-h2h-stats#620145,23,Istra 1961,Slaven Koprivnica,Draw,9,7,0.14,0.27,8,7,0.2,0.45,9,10,0.08,0.09,Win,Lose,Draw,Lose,Lose,Lose,Lose,Lose,Win,Draw,0.19,0.46,0.35,2.47,3.04,2.79
https://footystats.org//croatia/nk-istra-1961-vs-nk-slaven-belupo-koprivnica-h2h-stats#620145,23,Istra 1961,Slaven Koprivnica,Draw,9,7,0.14,0.27,8,7,0.2,0.45,9,10,0.08,0.09,Win,Lose,Draw,Lose,Lose,Lose,Lose,Lose,Win,Draw,0.19,0.46,0.35,2.39,3.11,2.87
https://footystats.org//croatia/hnk-hajduk-split-vs-hnk-gorica-h2h-stats#620144,23,Hajduk Split,Gorica,Home,2,6,0.55,0.36,3,5,0.91,0.42,4,5,0.18,0.3,Win,Win,Lose,Win,Win,Lose,Lose,Draw,Win,Lose,0.14,0.28,0.57,1.43,4.06,6.87
https://footystats.org//croatia/hnk-hajduk-split-vs-hnk-gorica-h2h-stats#620144,23,Hajduk Split,Gorica,Home,2,6,0.55,0.36,3,5,0.91,0.42,4,5,0.18,0.3,Win,Win,Lose,Win,Win,Lose,Lose,Draw,Win,Lose,0.14,0.28,0.57,1.66,3.64,4.83
https://footystats.org//croatia/gnk-dinamo-zagreb-vs-nk-inter-zapresic-h2h-stats#620142,23,Dinamo Zagreb,Inter Zaprešić,Home,1,8,0.77,0.14,2,9,0.91,0.18,1,7,0.64,0.09,Win,Win,Win,Lose,Win,Draw,Draw,Lose,Lose,Lose,0.89,0.11,0.0,1.11,7.44,19.47
https://footystats.org//croatia/gnk-dinamo-zagreb-vs-nk-inter-zapresic-h2h-stats#620142,23,Dinamo Zagreb,Inter Zaprešić,Home,1,8,0.77,0.14,2,9,0.91,0.18,1,7,0.64,0.09,Win,Win,Win,Lose,Win,Draw,Draw,Lose,Lose,Lose,0.89,0.11,0.0,1.09,8.11,20.48
https://footystats.org//croatia/nk-osijek-vs-gnk-dinamo-zagreb-h2h-stats#620141,22,Osijek,Dinamo Zagreb,Home,4,1,0.43,0.81,3,1,0.73,0.91,6,1,0.1,0.7,Draw,Win,Win,Win,Win,Lose,Win,Win,Lose,Win,0.15,0.19,0.65,3.89,3.34,1.87
https://footystats.org//croatia/nk-osijek-vs-gnk-dinamo-zagreb-h2h-stats#620141,22,Osijek,Dinamo Zagreb,Home,4,1,0.43,0.81,3,1,0.73,0.91,6,1,0.1,0.7,Draw,Win,Win,Win,Win,Lose,Win,Win,Lose,Win,0.15,0.19,0.65,2.7,3.16,2.5
https://footystats.org//croatia/nk-inter-zapresic-vs-nk-varazdin-h2h-stats#620137,22,Inter Zaprešić,Varaždin,Away,8,10,0.14,0.1,9,10,0.2,0.2,7,10,0.09,0.0,Win,Draw,Lose,Lose,Draw,Lose,Lose,Lose,Lose,Lose,0.5,0.5,0.0,1.99,3.19,3.61
https://footystats.org//croatia/nk-inter-zapresic-vs-nk-varazdin-h2h-stats#620137,22,Inter Zaprešić,Varaždin,Away,8,10,0.14,0.1,9,10,0.2,0.2,7,10,0.09,0.0,Win,Draw,Lose,Lose,Draw,Lose,Lose,Lose,Lose,Lose,0.5,0.5,0.0,1.92,3.39,3.73
https://footystats.org//croatia/nk-lokomotiva-zagreb-vs-nk-istra-1961-h2h-stats#620138,22,Lokomotiva Zagreb,Istra 1961,Home,5,9,0.43,0.14,4,8,0.7,0.2,5,8,0.18,0.09,Win,Win,Win,Win,Draw,Lose,Lose,Lose,Lose,Draw,0.62,0.19,0.19,1.49,4.04,5.85
https://footystats.org//croatia/nk-lokomotiva-zagreb-vs-nk-istra-1961-h2h-stats#620138,22,Lokomotiva Zagreb,Istra 1961,Home,5,9,0.43,0.14,4,8,0.7,0.2,5,8,0.18,0.09,Win,Win,Win,Win,Draw,Lose,Lose,Lose,Lose,Draw,0.62,0.19,0.19,1.62,3.72,4.98
https://footystats.org//croatia/nk-slaven-belupo-koprivnica-vs-hnk-hajduk-split-h2h-stats#620139,22,Slaven Koprivnica,Hajduk Split,Home,7,2,0.24,0.57,7,2,0.4,0.91,9,3,0.09,0.2,Lose,Win,Win,Draw,Lose,Win,Draw,Draw,Lose,Lose,0.15,0.3,0.54,3.8,3.16,1.96
