away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Win,Win,Draw,Win,Win,2,1,3,0.42,Ulsan,0.71,0.75,0.67,0.38,Lose,Lose,Win,Win,Win,10,9,9,0.19,FC Seoul,0.29,0.25,0.33,https://footystats.org//south-korea/fc-seoul-vs-ulsan-hyundai-horang-i-h2h-stats#944957,Away,8,,,
Draw,Win,Lose,Lose,Draw,3,7,5,0.25,Gangwon,0.43,0.33,0.5,0.41,Lose,Lose,Lose,Win,Draw,6,3,10,0.33,Pohang Steelers,0.43,0.67,0.25,https://footystats.org//south-korea/pohang-steelers-fc-vs-gangwon-fc-h2h-stats#944958,Home,8,1.97,3.29,3.81
Draw,Draw,Lose,Lose,Win,4,10,2,0.17,Sangju Sangmu,0.43,0.0,0.75,0.5,Lose,Lose,Draw,Win,Lose,9,4,11,0.33,Seongnam,0.29,0.5,0.0,https://footystats.org//south-korea/seongnam-fc-vs-sangju-sangmu-phoenix-fc-h2h-stats#944959,Away,8,,,
Win,Lose,Lose,Lose,Win,7,9,4,0.11,Gwangju,0.43,0.33,0.5,0.33,Win,Win,Win,Lose,Win,2,2,1,0.56,Jeonbuk Motors,0.86,0.75,1.0,https://footystats.org//south-korea/jeonbuk-hyundai-motors-fc-vs-gwangju-fc-h2h-stats#944960,Home,8,,,
Lose,Draw,Lose,Win,Draw,11,12,9,0.25,Busan I'Park,0.0,0.0,0.0,0.33,Lose,Lose,Draw,Win,Draw,12,11,11,0.42,Incheon United,0.0,0.0,0.0,https://footystats.org//south-korea/incheon-united-fc-vs-busan-ipark-h2h-stats#944961,Away,8,3.92,3.29,1.95
Win,Draw,Lose,Lose,Lose,8,7,8,0.55,Suwon Bluewings,0.29,0.33,0.25,0.36,Win,Draw,Draw,Draw,Lose,6,5,7,0.09,Daegu,0.29,0.25,0.33,https://footystats.org//south-korea/daegu-fc-vs-suwon-samsung-bluewings-fc-h2h-stats#944962,Home,8,2.12,3.16,3.47
Win,Draw,Win,Win,Win,2,2,2,0.77,Ulsan,0.67,0.67,0.67,0.23,Win,Draw,Win,Lose,Win,3,5,3,0.0,Gangwon,0.5,0.33,0.67,https://footystats.org//south-korea/gangwon-fc-vs-ulsan-hyundai-horang-i-h2h-stats#944951,Away,7,,,
Win,Lose,Win,Draw,Draw,1,4,1,0.46,Jeonbuk Motors,0.83,0.67,1.0,0.26,Lose,Lose,Win,Draw,Draw,4,1,8,0.27,Pohang Steelers,0.5,0.67,0.33,https://footystats.org//south-korea/pohang-steelers-fc-vs-jeonbuk-hyundai-motors-fc-h2h-stats#944952,Away,7,3.62,3.52,1.95
Draw,Lose,Lose,Lose,Win,10,10,7,0.24,Suwon Bluewings,0.17,0.0,0.25,0.41,Lose,Draw,Win,Lose,Lose,6,3,11,0.35,Seongnam,0.33,0.5,0.0,https://footystats.org//south-korea/seongnam-fc-vs-suwon-samsung-bluewings-fc-h2h-stats#944953,Away,7,,,
Lose,Win,Lose,Draw,Draw,10,9,8,0.41,FC Seoul,0.33,0.33,0.33,0.23,Lose,Win,Win,Win,Lose,8,10,4,0.35,Sangju Sangmu,0.33,0.0,0.67,https://footystats.org//south-korea/sangju-sangmu-phoenix-fc-vs-fc-seoul-h2h-stats#944954,Home,7,,,
Lose,Lose,Draw,Draw,Lose,12,11,12,0.25,Incheon United,0.0,0.0,0.0,0.58,Win,Draw,Lose,Lose,Win,9,8,6,0.17,Gwangju,0.33,0.33,0.33,https://footystats.org//south-korea/gwangju-fc-vs-incheon-united-fc-h2h-stats#944955,Home,7,1.98,3.11,4.03
Win,Lose,Draw,Win,Draw,5,7,5,0.5,Daegu,0.33,0.33,0.33,0.0,Draw,Draw,Lose,Win,Win,11,12,10,0.5,Busan I'Park,0.0,0.0,0.0,https://footystats.org//south-korea/busan-ipark-vs-daegu-fc-h2h-stats#944956,Draw,7,,,
Win,Draw,Win,Draw,Win,4,2,10,0.5,Seongnam,0.4,0.67,0.0,0.14,Draw,Win,Draw,Lose,Draw,2,1,4,0.36,Ulsan,0.6,0.67,0.5,https://footystats.org//south-korea/ulsan-hyundai-horang-i-vs-seongnam-fc-h2h-stats#944945,Home,6,,,
Lose,Draw,Draw,Lose,Win,12,10,12,0.14,Incheon United,0.0,0.0,0.0,0.4,Win,Win,Lose,Win,Draw,1,3,2,0.45,Jeonbuk Motors,0.8,0.67,1.0,https://footystats.org//south-korea/jeonbuk-hyundai-motors-fc-vs-incheon-united-fc-h2h-stats#944946,Home,6,1.31,5.13,8.55
